Training set shape: torch.Size([67285, 139]), Labels: tensor([0.])
Test set shape: torch.Size([16096, 139]), Labels: tensor([0, 1])
Epoch [1/100], Loss: 0.0059
Epoch [2/100], Loss: 0.0045
Epoch [3/100], Loss: 0.0065
Epoch [4/100], Loss: 0.0058
Epoch [5/100], Loss: 0.0044
Epoch [6/100], Loss: 0.0058
Epoch [7/100], Loss: 0.0068
Epoch [8/100], Loss: 0.0042
Epoch [9/100], Loss: 0.0063
Epoch [10/100], Loss: 0.0068
Epoch [11/100], Loss: 0.0064
Epoch [12/100], Loss: 0.0061
Epoch [13/100], Loss: 0.0036
Epoch [14/100], Loss: 0.0037
Epoch [15/100], Loss: 0.0061
Epoch [16/100], Loss: 0.0062
Epoch [17/100], Loss: 0.0050
Epoch [18/100], Loss: 0.0041
Epoch [19/100], Loss: 0.0038
Epoch [20/100], Loss: 0.0019
Epoch [21/100], Loss: 0.0087
Epoch [22/100], Loss: 0.0034
Epoch [23/100], Loss: 0.0052
Epoch [24/100], Loss: 0.0088
Epoch [25/100], Loss: 0.0084
Epoch [26/100], Loss: 0.0098
Epoch [27/100], Loss: 0.0044
Epoch [28/100], Loss: 0.0055
Epoch [29/100], Loss: 0.0028
Epoch [30/100], Loss: 0.0096
Epoch [31/100], Loss: 0.0053
Epoch [32/100], Loss: 0.0076
Epoch [33/100], Loss: 0.0059
Epoch [34/100], Loss: 0.0047
Epoch [35/100], Loss: 0.0071
Epoch [36/100], Loss: 0.0045
Epoch [37/100], Loss: 0.0085
Epoch [38/100], Loss: 0.0042
Epoch [39/100], Loss: 0.0055
Epoch [40/100], Loss: 0.0025
Epoch [41/100], Loss: 0.0056
Epoch [42/100], Loss: 0.0037
Epoch [43/100], Loss: 0.0053
Epoch [44/100], Loss: 0.0091
Epoch [45/100], Loss: 0.0071
Epoch [46/100], Loss: 0.0047
Epoch [47/100], Loss: 0.0067
Epoch [48/100], Loss: 0.0055
Epoch [49/100], Loss: 0.0061
Epoch [50/100], Loss: 0.0052
Epoch [51/100], Loss: 0.0022
Epoch [52/100], Loss: 0.0054
Epoch [53/100], Loss: 0.0093
Epoch [54/100], Loss: 0.0039
Epoch [55/100], Loss: 0.0025
Epoch [56/100], Loss: 0.0015
Epoch [57/100], Loss: 0.0028
Epoch [58/100], Loss: 0.0055
Epoch [59/100], Loss: 0.0054
Epoch [60/100], Loss: 0.0040
Epoch [61/100], Loss: 0.0017
Epoch [62/100], Loss: 0.0026
Epoch [63/100], Loss: 0.0017
Epoch [64/100], Loss: 0.0071
Epoch [65/100], Loss: 0.0044
Epoch [66/100], Loss: 0.0020
Epoch [67/100], Loss: 0.0037
Epoch [68/100], Loss: 0.0044
Epoch [69/100], Loss: 0.0014
Epoch [70/100], Loss: 0.0055
Epoch [71/100], Loss: 0.0023
Epoch [72/100], Loss: 0.0037
Epoch [73/100], Loss: 0.0016
Epoch [74/100], Loss: 0.0023
Epoch [75/100], Loss: 0.0035
Epoch [76/100], Loss: 0.0020
Epoch [77/100], Loss: 0.0036
Epoch [78/100], Loss: 0.0035
Epoch [79/100], Loss: 0.0038
Epoch [80/100], Loss: 0.0054
Epoch [81/100], Loss: 0.0019
Epoch [82/100], Loss: 0.0054
Epoch [83/100], Loss: 0.0022
Epoch [84/100], Loss: 0.0020
Epoch [85/100], Loss: 0.0021
Epoch [86/100], Loss: 0.0034
Epoch [87/100], Loss: 0.0040
Epoch [88/100], Loss: 0.0019
Epoch [89/100], Loss: 0.0021
Epoch [90/100], Loss: 0.0038
Epoch [91/100], Loss: 0.0091
Epoch [92/100], Loss: 0.0012
Epoch [93/100], Loss: 0.0026
Epoch [94/100], Loss: 0.0022
Epoch [95/100], Loss: 0.0027
Epoch [96/100], Loss: 0.0030
Epoch [97/100], Loss: 0.0061
Epoch [98/100], Loss: 0.0043
Epoch [99/100], Loss: 0.0033
Epoch [100/100], Loss: 0.0037
0.02962922677397728
              precision    recall  f1-score   support

           0       0.97      1.00      0.99     15258
           1       0.96      0.51      0.67       838

    accuracy                           0.97     16096
   macro avg       0.97      0.75      0.83     16096
weighted avg       0.97      0.97      0.97     16096

0.862511148734996
0.6282760858900108
