timestamp,src_ip_private,src_ip_public,src_ip_default,dst_ip_private,dst_ip_public,dst_ip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chwhereen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp,sport_ldaps,sport_cups,sport_imap4,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chwhereen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp,dport_ldaps,dport_cups,dport_imap4,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_6,protocol_17,protocol_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,npackets_b_verylow,npackets_b_low,npackets_b_medium,npackets_b_high,npackets_b_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,nbytes_b_verylow,nbytes_b_low,nbytes_b_medium,nbytes_b_high,nbytes_b_veryhigh,label_background,label_other
20/02/2018 01:00:00,659,341,0,725,272,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,93,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,39,778,25,0,0,0,0,0,0,0,0,1,2,0,345,0,0,0,84,0,0,0,1,0,0,0,0,171,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,135,146,626,349,25,669,290,37,4,0,675,293,25,6,1,693,144,163,0,0,568,206,198,21,7,1000,0
20/02/2018 01:00:06,662,338,0,689,310,1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,88,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184,25,791,28,0,0,0,0,0,0,0,0,1,0,0,340,0,0,0,48,0,0,0,0,0,0,0,0,231,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,131,153,628,344,28,631,317,46,5,1,648,301,39,11,1,649,135,211,5,0,535,186,230,36,13,1000,0
20/02/2018 01:00:11,734,266,0,697,302,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,69,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,24,842,26,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,63,0,0,0,0,1,0,0,0,210,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,124,99,552,422,26,676,287,37,0,0,687,279,30,4,0,701,115,183,1,0,536,227,214,16,7,1000,0
20/02/2018 01:00:15,673,327,0,689,309,2,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,35,801,23,0,0,0,0,0,0,0,0,1,1,0,330,0,0,0,90,0,0,0,0,1,0,0,0,197,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,154,129,644,333,23,637,327,33,1,2,645,323,28,2,2,662,144,190,4,0,558,196,222,19,5,1000,0
20/02/2018 01:00:21,668,332,0,724,273,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,71,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,34,802,30,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,81,0,0,0,0,1,0,0,0,165,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,153,128,591,379,30,670,306,22,1,1,680,294,23,2,1,695,145,158,2,0,560,221,201,13,5,1000,0
20/02/2018 01:00:26,682,318,0,738,262,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,91,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,34,792,28,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,82,0,0,0,0,0,0,0,0,159,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,136,140,582,390,28,706,256,35,3,0,710,261,24,5,0,735,118,145,2,0,606,185,183,18,8,1000,0
20/02/2018 01:00:31,684,316,0,713,285,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,97,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,46,779,20,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,88,0,0,0,0,1,0,0,0,190,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,134,146,606,374,20,652,300,46,2,0,657,308,31,2,2,673,143,182,2,0,555,169,253,20,3,1000,0
20/02/2018 01:00:35,555,445,0,733,267,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,121,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,63,729,17,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,71,0,0,0,1,0,0,0,0,178,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,218,185,717,266,17,617,360,21,2,0,623,353,21,2,1,639,118,241,2,0,564,133,289,11,3,1000,0
20/02/2018 01:00:39,645,355,0,755,241,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,86,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,20,829,18,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,74,0,0,0,0,1,0,0,0,166,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,185,130,614,368,18,614,355,30,0,1,628,346,22,3,1,646,137,215,2,0,555,151,275,14,5,1000,0
20/02/2018 01:00:44,564,436,0,767,231,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,109,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,41,744,31,0,0,0,0,0,0,0,0,0,1,0,293,0,0,0,79,0,0,0,0,1,0,0,0,142,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,199,175,673,296,31,629,346,23,1,1,644,339,14,1,2,672,114,211,3,0,582,172,235,8,3,1000,0
20/02/2018 01:00:51,745,255,0,751,246,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,55,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,34,844,18,0,0,0,0,0,0,0,0,0,2,0,458,0,0,0,88,0,0,0,1,1,0,0,0,150,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,124,98,517,465,18,679,292,29,0,0,699,280,21,0,0,709,140,151,0,0,579,193,217,11,0,1000,0
20/02/2018 01:00:58,690,310,0,714,282,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,2,0,0,0,106,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,33,784,18,0,0,0,0,0,0,0,0,0,1,0,362,0,0,0,84,0,0,0,2,2,0,0,0,189,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,112,155,612,370,18,692,289,19,0,0,709,281,10,0,0,725,143,132,0,0,613,177,201,9,0,1000,0
20/02/2018 01:01:04,542,458,0,743,251,6,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,1,0,0,0,105,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,50,760,15,0,0,0,0,0,0,0,0,0,0,0,254,1,0,0,69,0,0,0,0,1,0,0,0,160,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,252,164,723,262,15,610,365,25,0,0,628,357,15,0,0,636,107,257,0,0,557,150,282,9,2,1000,0
