maxAE=3, minAE=1, batch_size=4, accuracy=0.0342
maxAE=3, minAE=1, batch_size=8, accuracy=0.9605
maxAE=3, minAE=1, batch_size=16, accuracy=0.7608
maxAE=3, minAE=3, batch_size=4, accuracy=0.9812
maxAE=3, minAE=3, batch_size=8, accuracy=0.6395
maxAE=3, minAE=3, batch_size=16, accuracy=0.0342
maxAE=5, minAE=1, batch_size=4, accuracy=0.0342
maxAE=5, minAE=1, batch_size=8, accuracy=0.9565
maxAE=5, minAE=1, batch_size=16, accuracy=0.9557
maxAE=5, minAE=3, batch_size=4, accuracy=0.1392
maxAE=5, minAE=3, batch_size=8, accuracy=0.9847
maxAE=5, minAE=3, batch_size=16, accuracy=0.9847
maxAE=5, minAE=5, batch_size=4, accuracy=0.0329
maxAE=5, minAE=5, batch_size=8, accuracy=0.9547
maxAE=5, minAE=5, batch_size=16, accuracy=0.9547
maxAE=10, minAE=1, batch_size=4, accuracy=0.0329
maxAE=10, minAE=1, batch_size=8, accuracy=0.9611
maxAE=10, minAE=1, batch_size=16, accuracy=0.9611
maxAE=10, minAE=3, batch_size=4, accuracy=0.9844
maxAE=10, minAE=3, batch_size=8, accuracy=0.9844
maxAE=10, minAE=3, batch_size=16, accuracy=0.6801
maxAE=10, minAE=5, batch_size=4, accuracy=0.9096
maxAE=10, minAE=5, batch_size=8, accuracy=0.9607
maxAE=10, minAE=5, batch_size=16, accuracy=0.0329
maxAE=10, minAE=10, batch_size=4, accuracy=0.0329
maxAE=10, minAE=10, batch_size=8, accuracy=0.6258
maxAE=10, minAE=10, batch_size=16, accuracy=0.1580
maxAE=15, minAE=1, batch_size=4, accuracy=0.9510
maxAE=15, minAE=1, batch_size=8, accuracy=0.0329
maxAE=15, minAE=1, batch_size=16, accuracy=0.9510
maxAE=15, minAE=3, batch_size=4, accuracy=0.8764
maxAE=15, minAE=3, batch_size=8, accuracy=0.0329
maxAE=15, minAE=3, batch_size=16, accuracy=0.7084
maxAE=15, minAE=5, batch_size=4, accuracy=0.0329
maxAE=15, minAE=5, batch_size=8, accuracy=0.9503
maxAE=15, minAE=5, batch_size=16, accuracy=0.0329
maxAE=15, minAE=10, batch_size=4, accuracy=0.6495
maxAE=15, minAE=10, batch_size=8, accuracy=0.0329
maxAE=15, minAE=10, batch_size=16, accuracy=0.1009

Best parameters found:
maxAE=5, minAE=3, batch_size=16, best accuracy=0.9847
